timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
200.251,-0.05557,0.99998,0.00000,2,21.4041,-0.1760,0.32561,0.02254,5236.0,0.0,5.8558,13.5701,31.0019,118.0650,80.1340,69.1009,64.3905,60.7753,58.4369,56.2760,54.2732,52.4117,50.0168,47.5426,43.5284,37.1177,29.0111,21.5846,11.0030,19.5012,19.6777,20.1887,20.1887,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.270,-0.05557,0.99998,0.00000,2,22.0625,-0.1805,0.32499,0.02332,5236.0,0.0,5.8660,13.6366,32.7122,116.9770,79.5771,68.6670,64.0044,60.4241,58.1078,55.9663,53.9812,52.1358,49.7608,47.3066,43.3233,36.9529,28.8970,21.5170,10.9897,20.1003,20.2813,20.7943,20.7943,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.286,-0.05557,0.99998,0.00000,2,22.7186,-0.1847,0.32433,0.02412,5236.0,0.0,5.8767,13.7066,200.0000,115.8720,79.0091,68.2234,63.6097,60.0652,57.7708,55.6496,53.6824,51.8533,49.4987,47.0648,43.1129,36.7838,28.7799,21.4474,10.9758,20.6981,20.8843,21.4292,21.4292,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.309,-0.05557,0.99998,0.00000,2,23.3722,-0.1888,0.32363,0.02494,5236.0,0.0,5.8879,13.7806,200.0000,114.7480,78.4291,67.7698,63.2056,59.6975,57.4258,55.3249,53.3762,51.5636,49.2297,46.8165,42.8969,36.6102,28.6593,21.3757,10.9614,21.2943,21.4866,22.0940,22.0940,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.328,-0.05557,0.99998,0.00000,2,24.0259,-0.1928,0.32290,0.02579,5236.0,0.0,5.8995,13.8589,200.0000,113.6050,77.8352,67.3049,62.7916,59.3204,57.0720,54.9916,53.0618,51.2664,48.9539,46.5619,42.6750,36.4316,28.5353,21.3018,10.9465,21.8908,22.0898,22.7575,22.7575,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.351,-0.05557,0.99998,0.00000,2,24.6808,-0.1967,0.32212,0.02668,5236.0,0.0,5.9118,13.9418,200.0000,112.4420,77.2290,66.8297,62.3676,58.9342,56.7094,54.6503,52.7397,50.9617,48.6707,46.3007,42.4474,36.2482,28.4079,21.2256,10.9308,22.4882,22.6937,23.4009,23.4009,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.369,-0.05557,0.99998,0.00000,2,25.3368,-0.2006,0.32131,0.02759,5236.0,0.0,5.9245,14.0293,200.0000,111.2620,76.6107,66.3442,61.9347,58.5395,56.3387,54.3014,52.4101,50.6497,48.3811,46.0330,42.2141,36.0601,28.2771,21.1471,10.9145,23.0866,23.2981,24.0254,24.0254,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.390,-0.05557,0.99998,0.00000,2,25.9935,-0.2041,0.32046,0.02852,5236.0,0.0,5.9378,14.1217,200.0000,110.0690,75.9820,65.8497,61.4932,58.1370,55.9607,53.9450,52.0736,50.3313,48.0852,45.7596,41.9756,35.8676,28.1431,21.0666,10.8975,23.6834,23.9005,24.6403,24.6403,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.406,-0.05557,0.99998,0.00000,2,26.6500,-0.2077,0.31956,0.02948,5236.0,0.0,5.9517,14.2192,200.0000,108.8630,75.3435,65.3470,61.0441,57.7274,55.5755,53.5822,51.7308,50.0066,47.7834,45.4806,41.7321,35.6707,28.0060,20.9840,10.8798,24.2822,24.5047,25.2528,25.2528,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.426,-0.05557,0.99998,0.00000,2,27.3064,-0.2114,0.31862,0.03046,5236.0,0.0,5.9662,14.3221,200.0000,107.6470,74.6958,64.8359,60.5872,57.3104,55.1836,53.2126,51.3814,49.6759,47.4756,45.1960,41.4835,35.4697,27.8658,20.8993,10.8613,24.8808,25.1088,25.8643,25.8643,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
